georgian_old,acea_new
person_1,person_105
person_2,person_106
person_5,person_107
person_7,person_108
person_8,person_109
person_11,person_110
person_13,person_111
person_16,person_112
person_17,person_113
person_18,person_114
person_19,person_115
person_20,person_116
person_21,person_117
person_23,person_118
person_25,person_119
person_28,person_120
person_29,person_121
person_30,person_122
person_33,person_123
person_34,person_124
person_35,person_125
person_36,person_126
person_37,person_127
person_38,person_128
person_40,person_129
person_41,person_130
person_43,person_131
person_45,person_132
person_46,person_133
person_47,person_134
person_48,person_135
person_49,person_136
person_51,person_137
person_52,person_138
person_56,person_139
person_60,person_140
person_62,person_141
person_63,person_142
person_64,person_143
person_67,person_144
person_68,person_145
person_69,person_146
person_70,person_147
person_71,person_148
person_72,person_149
person_74,person_150
person_77,person_151
person_79,person_152
person_80,person_153
person_81,person_154
person_82,person_155
person_85,person_156
person_87,person_157
person_88,person_158
person_89,person_159
person_91,person_160
person_93,person_161
person_94,person_162
person_95,person_163
person_96,person_164
person_98,person_165
person_100,person_166
person_102,person_167
person_103,person_168
person_104,person_169
